id,id_pengambil,id_consumable,tanggal_peminjaman,jumlah
TC5000719498,Priscilla,C500,27/07/2019,498
TC2400605552,Priscilla,C240,18/06/2005,552
TC2000503030,Faris,C200,21/05/2003,30
TC5170514482,Faris,C517,04/05/2014,482
TC8600708589,Faris,C860,10/07/2008,589
TC4910208707,Dave,C491,18/02/2008,707
TC5290820843,Ophelia,C529,26/08/2020,843
TC0250308408,Faris,C025,12/03/2008,408
TC9270505602,Jean,C927,01/05/2005,602
TC3480814157,Ignis,C348,26/08/2014,157
TC2291208524,Nobita,C229,07/12/2008,524
TC8530311018,William,C853,03/03/2011,18
TC8150404532,Ignis,C815,08/04/2004,532
TC1320511743,Zaccheus,C132,18/05/2011,743
TC5300317060,William,C530,20/03/2017,60
TC2810614515,Zaccheus,C281,21/06/2014,515
TC4340506150,Yaeger,C434,13/05/2006,150
TC6420400250,Dave,C642,06/04/2000,250
TC2181001176,Ursula,C218,07/10/2001,176
TC7610816494,Katnis,C761,23/08/2016,494
TC5770819707,Victoria,C577,02/08/2019,707
TC8661010729,Courtney,C866,15/10/2010,729
TC3890208840,Priscilla,C389,03/02/2008,840
TC3030110356,Yaeger,C303,03/01/2010,356
TC4340802910,Zaccheus,C434,18/08/2002,910
TC3560616608,Sven,C356,23/06/2016,608
TC4060103548,Faris,C406,08/01/2003,548
TC0290520309,Quake,C029,24/05/2020,309
TC0480205335,Katnis,C048,18/02/2005,335
TC1870602743,Randal,C187,25/06/2002,743
TC4640709543,Sven,C464,01/07/2009,543
TC7560608149,Zaccheus,C756,07/06/2008,149
TC3050519384,Beatrice,C305,07/05/2019,384
TC1880607377,Nobita,C188,13/06/2007,377
TC9950204515,Xander,C995,14/02/2004,515
TC2241007212,Courtney,C224,13/10/2007,212
TC3080807091,William,C308,04/08/2007,91
TC1860212978,George,C186,06/02/2012,978
TC8001206460,Tabatha,C800,12/12/2006,460
TC7190503951,Tabatha,C719,22/05/2003,951
TC5261218269,Ava,C526,05/12/2018,269
TC7411100153,Yaeger,C741,13/11/2000,153
TC6670102994,Priscilla,C667,06/01/2002,994
TC3210601056,Laetitia,C321,09/06/2001,56
TC3281108004,Ethan,C328,17/11/2008,4
TC7950314325,William,C795,01/03/2014,325
TC6600720757,Tabatha,C660,28/07/2020,757
TC1961217891,Maureen,C196,19/12/2017,891
TC4160214909,Sven,C416,26/02/2014,909
TC2730517571,Courtney,C273,16/05/2017,571
TC0450207477,Randal,C045,24/02/2007,477
TC2590300709,Nobita,C259,17/03/2000,709
TC3211103566,George,C321,20/11/2003,566
TC4620801996,Zaccheus,C462,25/08/2001,996
TC5411108350,Ethan,C541,01/11/2008,350
TC7740407724,Faris,C774,11/04/2007,724
TC8630619384,Ignis,C863,21/06/2019,384
TC5000901990,Tabatha,C500,02/09/2001,990
TC3450807357,Ursula,C345,12/08/2007,357
TC3020300564,Quake,C302,17/03/2000,564
TC4361013424,Ursula,C436,10/10/2013,424
TC0980219538,Maureen,C098,12/02/2019,538
TC6330406763,Ava,C633,07/04/2006,763
TC0020410663,Laetitia,C002,28/04/2010,663
TC5150603805,Ursula,C515,11/06/2003,805
TC0830405831,Zaccheus,C083,02/04/2005,831
TC5270403207,Jean,C527,04/04/2003,207
TC4700704778,Dave,C470,02/07/2004,778
TC2310207271,Ethan,C231,14/02/2007,271
TC8410810356,Zaccheus,C841,01/08/2010,356
TC9600503341,Quake,C960,16/05/2003,341
TC4430505583,Katnis,C443,10/05/2005,583
TC2081115653,Laetitia,C208,07/11/2015,653
TC2910402362,Nobita,C291,06/04/2002,362
TC7190200613,Courtney,C719,21/02/2000,613
TC0210401218,Hamilton,C021,19/04/2001,218
TC9950514165,Katnis,C995,26/05/2014,165
TC7751003343,Katnis,C775,02/10/2003,343
TC3180103025,Xander,C318,26/01/2003,25
TC5961204903,Courtney,C596,19/12/2004,903
TC4430510349,Hamilton,C443,08/05/2010,349
TC6440410649,Quake,C644,07/04/2010,649
TC1081017410,Victoria,C108,21/10/2017,410
TC1750816588,Zaccheus,C175,18/08/2016,588
TC1010619116,Courtney,C101,17/06/2019,116
TC3480414329,Maureen,C348,23/04/2014,329
TC2430110408,George,C243,06/01/2010,408
TC6630303649,Ignis,C663,04/03/2003,649
TC5910401989,Ursula,C591,12/04/2001,989
TC2941103339,Ophelia,C294,27/11/2003,339
TC5991219059,Victoria,C599,21/12/2019,59
TC0790204323,Ava,C079,18/02/2004,323
TC5960920493,Beatrice,C596,15/09/2020,493
TC6860213308,Ava,C686,27/02/2013,308
TC9360206971,Ethan,C936,17/02/2006,971
TC6380602142,Sven,C638,01/06/2002,142
TC3850702565,William,C385,19/07/2002,565
TC2411117134,George,C241,26/11/2017,134
TC6320717525,Ethan,C632,18/07/2017,525
TC8070308844,Zaccheus,C807,26/03/2008,844
TC5581014727,Nobita,C558,25/10/2014,727
TC2580807933,Ophelia,C258,20/08/2007,933
TC3921207689,Jean,C392,18/12/2007,689
TC2271005407,Xander,C227,22/10/2005,407
TC0140411761,Ignis,C014,05/04/2011,761
TC6250610445,Jean,C625,06/06/2010,445
TC0491106532,Tabatha,C049,25/11/2006,532
TC1561007818,Beatrice,C156,05/10/2007,818
TC9920604007,Beatrice,C992,23/06/2004,7
TC1370404518,Ethan,C137,26/04/2004,518
TC2530301034,Ethan,C253,24/03/2001,34
TC9280614536,Victoria,C928,13/06/2014,536
TC8990715501,Zaccheus,C899,08/07/2015,501
TC0490606728,Laetitia,C049,23/06/2006,728
TC9950711993,Laetitia,C995,05/07/2011,993
TC8260804824,George,C826,25/08/2004,824
TC3740317161,George,C374,14/03/2017,161
TC7011104638,Zaccheus,C701,05/11/2004,638
TC4370620107,Katnis,C437,23/06/2020,107
TC0171210926,Courtney,C017,12/12/2010,926
TC7140619434,Hamilton,C714,12/06/2019,434
TC7090819402,Hamilton,C709,01/08/2019,402
TC5940408995,Sven,C594,24/04/2008,995
TC9960101053,Laetitia,C996,14/01/2001,53
TC5990310268,Nobita,C599,20/03/2010,268
TC5800707573,Nobita,C580,24/07/2007,573
TC6160909343,Yaeger,C616,20/09/2009,343
TC5330204370,Ethan,C533,21/02/2004,370
