id;nama;deskripsi;jumlah;rarity
C001;Coin;It's worth 50 cents.;999;C
C002;Emerald Pearls;Pearls that seem to be made of Emerald. Other than that they appear to have no special effects.;50;B
C003;Topaz Potions;Potions that seem to be made of Topaz. Other than that they appear to have no special effects.;86;B
C004;Gold Panties;Panties that seem to be made of Gold. Other than that they appear to have no special effects.;69;B
C005;Jade Juices;Juices that seem to be made of Jade. Other than that they appear to have no special effects.;92;B
C006;Abyssal Iron Salmon;Abyssal Salmon that are seemingly made of Iron. They radiate Abyssal energy and their effects are unknown though one might surmise them from its name.;30;A
C007;Iron Panties;Panties that seem to be made of Iron. Other than that they appear to have no special effects.;147;B
C008;Dwarven Platinum Beads;Dwarven Beads that are seemingly made of Platinum. They radiate Dwarven energy and their effects are unknown though one might surmise them from its name.;21;A
C009;Platinum Candies;Candies that seem to be made of Platinum. Other than that they appear to have no special effects.;39;B
C010;Topaz Essences;Essences that seem to be made of Topaz. Other than that they appear to have no special effects.;180;B
C011;Essences;Just normal Essences. They have no special effects.;426;C
C012;Pearls;Just normal Pearls. They have no special effects.;240;C
C013;Abyssal Jade Milk Cartons;Abyssal Milk Cartons that are seemingly made of Jade. They radiate Abyssal energy and their effects are unknown though one might surmise them from its name.;18;A
C014;Grand Platinum Peaches;Grand Peaches that are seemingly made of Platinum. They radiate Grand energy and their effects are unknown though one might surmise them from its name.;6;A
C015;Jade Panties;Panties that seem to be made of Jade. Other than that they appear to have no special effects.;56;B
C016;Topaz Milk Cartons;Milk Cartons that seem to be made of Topaz. Other than that they appear to have no special effects.;123;B
C017;Iron Pears;Pears that seem to be made of Iron. Other than that they appear to have no special effects.;119;B
C018;Candies;Just normal Candies. They have no special effects.;158;C
C019;Iron Carps;Carps that seem to be made of Iron. Other than that they appear to have no special effects.;62;B
C020;Elven Steel Cupcakes;Elven Cupcakes that are seemingly made of Steel. They radiate Elven energy and their effects are unknown though one might surmise them from its name.;30;A
C021;Gold Juices;Juices that seem to be made of Gold. Other than that they appear to have no special effects.;101;B
C022;Steel Apples;Apples that seem to be made of Steel. Other than that they appear to have no special effects.;162;B
C023;Steel Bread Cloves;Bread Cloves that seem to be made of Steel. Other than that they appear to have no special effects.;89;B
C024;Copper Bread Cloves;Bread Cloves that seem to be made of Copper. Other than that they appear to have no special effects.;90;B
C025;Elven Emerald Milk Cartons;Elven Milk Cartons that are seemingly made of Emerald. They radiate Elven energy and their effects are unknown though one might surmise them from its name.;17;A
C026;Corrupted Gold Arrows;Corrupted Arrows that are seemingly made of Gold. They radiate Corrupted energy and their effects are unknown though one might surmise them from its name.;17;A
C027;Potions;Just normal Potions. They have no special effects.;237;C
C028;Steel Pears;Pears that seem to be made of Steel. Other than that they appear to have no special effects.;87;B
C029;Platinum Milk Cartons;Milk Cartons that seem to be made of Platinum. Other than that they appear to have no special effects.;94;B
C030;Blessed Gold Arrows;Blessed Arrows that are seemingly made of Gold. They radiate Blessed energy and their effects are unknown though one might surmise them from its name.;14;A
