id;nama;deskripsi;jumlah;rarity;tahun_ditemukan
G001;Amos' Bow;Amos' Trusty Bow;1;S;2021
G002;Iron Cleats;A/an Cleats that is made of Iron. Other than that it appears to have no special effects.;137;B;1297
G003;Ruby Tiara;A/an Tiara that is made of Ruby. Other than that it appears to have no special effects.;76;B;328
G004;Robe;Just a/an normal Robe. It has no special effects.;613;C;1183
G005;Iron Ring;A/an Ring that is made of Iron. Other than that it appears to have no special effects.;191;B;1161
G006;Iron Key;A/an Key that is made of Iron. Other than that it appears to have no special effects.;121;B;1268
G007;Sapphire Crown;A/an Crown that is made of Sapphire. Other than that it appears to have no special effects.;128;B;1401
G008;Spiritual Ruby Hairpin;A/an Spiritual Hairpin that is made of Ruby. It has Spiritual origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;13;A;881
G009;Steel Armor;A/an Armor that is made of Steel. Other than that it appears to have no special effects.;89;B;349
G010;Abyssal Platinum Cloak of Light;A/an Abyssal Cloak that is made of Platinum. It radiates Abyssal energy and when used will imbue its actions with the attribute of Light. Very rare!;6;S;1175
G011;Chaotic Gold Tiara;A/an Chaotic Tiara that is made of Gold. It has Chaotic origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;24;A;804
G012;Explosive Iron Shield;A/an Explosive Shield that is made of Iron. It has Explosive origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;16;A;614
G013;Elven Sapphire Robe;A/an Elven Robe that is made of Sapphire. It has Elven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;19;A;1350
G014;Topaz Cloak;A/an Cloak that is made of Topaz. Other than that it appears to have no special effects.;21;B;501
G015;Ruby Crossbow;A/an Crossbow that is made of Ruby. Other than that it appears to have no special effects.;145;B;1068
G016;Silver Tiara;A/an Tiara that is made of Silver. Other than that it appears to have no special effects.;20;B;740
G017;Hairpin;Just a/an normal Hairpin. It has no special effects.;819;C;165
G018;Sapphire Shield;A/an Shield that is made of Sapphire. Other than that it appears to have no special effects.;135;B;1304
G019;Jade Cloak;A/an Cloak that is made of Jade. Other than that it appears to have no special effects.;12;B;1497
G020;Jade Crown;A/an Crown that is made of Jade. Other than that it appears to have no special effects.;91;B;431
G021;Grand Iron Crossbow;A/an Grand Crossbow that is made of Iron. It has Grand origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;9;A;1084
G022;Poisonous Ruby Sword;A/an Poisonous Sword that is made of Ruby. It has Poisonous origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;5;A;97
G023;Corrupted Silver Cloak;A/an Corrupted Cloak that is made of Silver. It has Corrupted origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;23;A;228
G024;Copper Crown;A/an Crown that is made of Copper. Other than that it appears to have no special effects.;15;B;836
G025;Ruby Ring;A/an Ring that is made of Ruby. Other than that it appears to have no special effects.;195;B;798
G026;Topaz Bracelet;A/an Bracelet that is made of Topaz. Other than that it appears to have no special effects.;127;B;570
G027;Dwarven Platinum Cloak;A/an Dwarven Cloak that is made of Platinum. It has Dwarven origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;22;A;1193
G028;Jade Tome;A/an Tome that is made of Jade. Other than that it appears to have no special effects.;79;B;231
G029;Silver Robe;A/an Robe that is made of Silver. Other than that it appears to have no special effects.;159;B;1025
G030;Poisonous Topaz Cloak;A/an Poisonous Cloak that is made of Topaz. It has Poisonous origins and though no one knows what its special effects are. Maybe its creator made it on a whim.;7;A;1400
G031;Emerald Shield;A/an Shield that is made of Emerald. Other than that it appears to have no special effects.;108;B;768
